Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.00mm_Vertical",74.500000,-98.500000,90.000000,top
"J2","Conn_01x02_Pin_for_flashing","PinHeader_1x02_P2.00mm_Vertical",66.000000,-98.500000,-90.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",142.032500,-87.750000,-90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",141.467500,-70.250000,90.000000,top
"Q1","BC547","TO-92_Inline",112.730000,-62.360000,0.000000,top
"R1","10k","R_01005_0402Metric",74.000000,-60.750000,90.000000,top
"R2","1k","R_01005_0402Metric",113.500000,-70.500000,180.000000,top
"R3","10k","R_01005_0402Metric",119.000000,-71.275000,90.000000,top
"R4","10k","R_01005_0402Metric",83.225000,-89.000000,180.000000,top
"R5","10k","R_01005_0402Metric",105.000000,-104.000000,180.000000,top
"R6","10k","R_01005_0402Metric",83.767590,-75.250000,-90.000000,top
"SW2","SW_MEC_5E","SW_MEC_5GSH9",71.000000,-77.500000,0.000000,top
"U1","ESP-12F","ESP-12E",98.500000,-88.500000,0.000000,top
"U2","~","SSR-D3803HK",93.500000,-46.500000,0.000000,top
"U3","~","Converter_ACDC_Hi-Link_HLK-5Mxx",113.952500,-40.000000,0.000000,top
